22,D2
11,S7
18,C5
5,HA
8,D10
36,HA
49,C6
52,H10
18,D7
36,HA
4,H2
50,C2
49,SA
36,HA
46,DA
19,C2
4,H4
47,D10
29,HQ
49,C8
31,CJ
34,D8
29,S2
46,H7
39,S8
43,D5
47,D9
5,H5
44,DQ
18,D7
19,DQ
18,D7
30,C9
43,S7
25,S9
8,C5
13,CK
46,HQ
47,HK
33,S5
43,S7
5,H4
27,D10
43,S7
16,D10
24,C2
5,D6
27,CJ
42,SA
11,H8
30,S9
34,HK
35,S6
48,SJ
38,D5
39,C6
12,S9
31,H5
37,D2
36,H9
23,CA
42,D3
47,D9
17,S3
38,DQ
47,D9
2,HA
11,H2
9,CQ
22,D2
11,C5
22,D2
41,D7
39,H2
2,CK
5,H5
23,D6
21,S4
49,S7
5,H5
7,H10
47,DQ
32,DJ
29,S6
31,H5
16,S5
6,SK
34,C3
11,DK
26,SA
5,H4
22,S10
45,CA
1,H10
5,H4
31,H5
36,S8
52,H9
10,C7
4,H2
29,S5
4,H2
35,S10
9,H3
27,S9
48,HJ
5,H4
17,D4
37,S3
5,H4
21,H5
26,D7
3,HK
5,H4
30,D2
9,H6
21,SK
48,H8
28,D3
47,H3
14,HQ
1,S9
20,HK
40,S10
32,SA
10,D4
26,DK
3,C2
41,D6
11,S6
48,H8
19,D9
28,D3
47,HK
25,C9
35,DA
34,HJ
51,S10
5,H4
5,H4
29,S4
36,CA
47,HK
49,D4
7,D6
1,C10
5,H4
42,S9
5,H4
28,D3
39,S2
48,H8
47,C10
19,D9
35,DA
22,CK
6,H6
15,SQ
8,D2
38,S9
52,DJ
32,SA
48,S8
37,S4
9,C9
29,CA
13,C6
39,C8
23,S3
32,SA
19,D9
35,DA
8,CK
30,S5
23,S4
28,D3
6,C7
21,DJ
51,CJ
10,H9
5,H4
5,H4
20,S3
33,C9
45,C2
5,H4
5,H4
7,S7
28,D3
5,H4
28,D3
43,HQ
35,D3
12,S8
22,S6
23,D6
9,H3
14,C4
23,D6
9,H3
2,S7
45,HA
38,H7
8,CK
3,H2
49,S9
25,C9
18,DK
33,S5
13,D2
10,H9
24,D3
33,S5
40,S6
44,HQ
51,D5
20,HA
38,S8
6,H4
25,C9
8,CK
10,H9
12,C6
21,C3
41,D8
47,H5
43,DJ
8,C3
30,H4
51,CA
10,D6
44,S7
33,C8
28,SK
6,DQ
31,S2
1,C6
23,HJ
29,H3
4,C5
21,C10
46,S4
11,H10
2,SQ
14,H5
41,D9
16,CK
28,C10
26,S8
33,S10
40,H7
2,HJ
38,DQ
36,S2
37,D8
42,DA
38,DQ
17,S7
18,SJ
16,CJ
51,CK
27,D4
3,C3
29,H6
29,S6
46,HQ
45,SK
22,HK
6,H6
12,DA
26,C8
10,H3
46,HQ
8,D3
9,CQ
28,C5
49,C10
9,CQ
40,S2
3,C2
29,S6
1,SQ
24,DK
3,C2
51,CK
15,S3
6,H6
43,S10
27,DJ
44,H8
34,SJ
48,CJ
35,D7
51,CK
52,S9
27,C5
3,SJ
5,HA
10,D6
21,D4
5,HA
20,H4
26,C8
46,C7
47,S10
51,CJ
29,S8
37,S3
52,D3
40,CQ
44,HQ
48,HK
37,S3
24,D7
51,CJ
7,D10
44,HQ
10,D6
26,C8
33,D2
6,S10
42,HK
27,CJ
43,D10
48,H7
52,H3
32,H6
2,CK
11,D3
14,C8
10,SK
35,C9
27,CJ
2,CK
44,SJ
13,DQ
5,HJ
39,C4
45,C5
19,C10
51,H5
15,DQ
18,HJ
31,DA
24,H6
44,C9
23,SJ
39,C2
2,C3
43,C6
34,C4
46,H10
52,C10
17,D9
30,CQ
9,S7
7,S6
8,HA
20,C8
38,S3
35,C3
26,CQ
36,D5
46,H7
42,S4
11,D3
30,SJ
32,C6
18,HA
2,H4
46,H7
40,H8
50,S5
10,SK
7,H10
45,S7
47,DQ
16,HQ
7,H10
47,DQ
19,D6
33,D10
13,DJ
20,C5
41,C7
10,SK
11,D3
14,S9
18,D7
43,DJ
15,C4
25,C7
16,S5
44,H4
2,D2
42,S4
18,D7
38,DK
24,H6
37,SQ
50,C9
11,H2
18,D7
26,H9
17,H7
48,S8
8,D3
13,S2
52,C3
11,H2
22,DA
16,S5
21,DQ
19,C6
48,S8
40,C10
27,HJ
43,DJ
8,D3
31,D5
29,D9
14,S9
24,H6
14,S9
42,S4
35,D3
12,S8
3,H2
9,C5
10,D5
8,D6
16,HQ
14,H6
31,D8
50,C3
2,DJ
43,C6
33,SJ
13,DQ
21,SQ
38,H3
41,C7
11,D7
24,S6
12,S8
35,D3
39,HK
3,H2
30,D9
19,DK
13,DQ
17,H5
43,C6
16,HQ
41,C7
7,D4
52,H10
20,CK
29,S2
3,H6
52,H10
13,S6
14,D5
16,C3
25,S9
29,S2
25,S9
50,SJ
33,C9
44,H7
41,D6
34,SA
39,DJ
41,D6
2,S5
46,C2
27,D4
33,C9
48,CA
45,C10
9,D8
27,D4
18,H2
22,S7
31,S8
19,SQ
32,H6
41,C2
33,S5
38,DK
7,S8
20,H4
45,D9
13,CK
22,C10
13,CK
6,D6
23,DJ
33,S5
46,H2
8,SA
27,S4
50,C3
4,HJ
39,C8
49,HA
52,SQ
12,H9
39,C8
1,DA
26,SJ
33,S5
15,D10
17,S9
20,H4
30,C4
32,H6
51,D4
38,DK
44,S2
50,C3
10,CQ
47,C10
19,HK
5,CA
21,C6
28,C5
22,DA
50,S8
40,S2
25,H6
41,H7
36,D10
51,CK
18,C8
46,C2
47,C10
24,S6
35,H10
1,D4
27,HA
37,HQ
44,SK
51,CK
2,H5
28,C5
40,S2
51,CK
12,S3
10,D2
33,D8
22,DA
24,S6
46,C2
4,DQ
20,SA
23,CQ
2,HQ
6,DJ
51,H5
50,D3
1,S9
26,H2
52,C5
10,HK
39,CK
1,S9
27,H9
13,C8
25,S10
14,C7
16,H8
9,D8
36,S4
37,S8
51,H5
9,D8
30,D7
6,S10
14,HJ
43,DJ
24,H5
1,CA
18,H3
40,D8
5,H9
9,C5
2,CK
7,S8
23,D10
12,H8
45,C7
44,H7
52,C2
2,CK
10,DA
39,C8
19,C6
25,H10
33,SJ
16,D7
39,C8
26,S2
15,SA
30,D9
27,HA
43,DJ
48,CJ
49,S6
48,CJ
38,C3
2,CK
6,S10
32,H4
19,C6
43,DJ
9,C5
30,D9
33,SJ
44,H7
3,D2
7,S8
39,C8
27,HA
34,DK
4,H2
36,S9
23,C6
27,SQ
4,H2
9,CJ
6,CQ
45,D9
44,HQ
49,D10
4,H2
39,DJ
13,DQ
15,S3
44,HQ
11,SA
25,H5
15,S3
44,HQ
13,DQ
13,DQ
32,SK
42,H9
17,H8
39,DJ
3,D2
45,D9
3,D2
26,CJ
8,D10
35,C3
8,D10
27,D7
29,S5
2,CK
15,CQ
28,C8
48,C4
18,HA
4,SK
12,H8
23,SJ
6,DA
2,CK
50,C7
29,S5
45,S2
19,C6
31,H2
44,S10
11,S4
41,D8
41,D8
22,C9
13,D4
30,SA
39,CA
2,CK
20,DJ
14,S9
23,SJ
14,S9
18,HA
35,C3
14,S9
19,C6
34,C2
49,H3
16,DQ
46,S6
2,CK
12,H8
19,C6
10,D3
33,S10
47,HK
29,S5
1,H7
26,C8
12,H8
23,SJ
31,D9
47,HK
29,S5
2,S7
47,HK
2,S7
40,C10
27,HJ
35,CQ
33,S10
17,C4
26,C8
26,C8
49,S2
23,SJ
27,HJ
40,C10
46,D6
5,SK
43,C7
12,H8
13,S4
50,CK
12,H8
23,SJ
29,S5
27,CJ
45,S10
51,H5
39,H2
24,S7
30,SJ
6,CQ
8,D6
18,HA
42,DJ
31,D9
7,H10
27,CJ
29,H3
22,DA
43,C8
7,H10
39,H2
25,H6
14,C3
41,S2
11,S9
19,D10
36,S3
44,H8
49,H4
29,H3
38,D3
47,H9
44,H8
12,HJ
27,CJ
34,S6
1,D7
51,H5
7,H10
18,HA
30,SJ
22,DA
8,D6
22,DA
25,H6
51,H5
5,DK
6,CQ
16,S4
17,S8
18,HA
15,C2
31,D9
6,S10
16,D10
48,H7
7,SK
12,D6
45,H10
43,D5
50,S4
28,C6
18,S7
43,D5
40,C3
1,H9
8,D3
14,D9
16,D10
44,HK
4,C8
17,H4
38,SA
42,S9
5,S8
15,S3
42,S9
36,S6
41,S2
51,C7
9,SJ
35,CQ
8,D3
15,S3
34,CK
6,S10
23,HQ
48,H7
19,SQ
49,H8
31,H3
8,D3
39,C5
19,SQ
6,S10
15,S3
33,C10
25,DJ
35,CQ
32,D8
41,S2
35,D3
40,S8
32,CK
52,H3
39,DA
41,D7
27,C7
47,D9
28,SK
1,S3
3,HQ
20,HK
44,D8
22,H10
47,D9
4,C4
7,DJ
17,C8
8,SA
47,D9
41,D7
45,C2
33,HA
20,HK
5,HJ
15,H8
45,C2
50,H6
26,SJ
35,D3
29,DQ
28,SK
49,S6
24,D5
13,D4
2,C6
42,SQ
5,HJ
52,H3
34,H9
48,D2
35,D3
8,SA
11,H5
26,SJ
43,S5
49,S6
18,C3
13,D4
25,C10
46,HQ
48,H7
6,DJ
9,C5
18,HJ
34,D4
1,C6
33,D5
25,CQ
30,DQ
37,D8
46,HQ
51,S5
14,H8
50,C7
16,D7
1,C6
19,DK
37,D8
52,S9
46,HQ
52,S9
48,H7
18,HJ
4,C9
27,D9
9,C5
19,DK
49,CA
15,D6
6,DJ
47,SK
9,C5
16,D7
20,H6
40,S3
50,C7
3,D3
7,DA
21,SA
48,H7
35,C3
3,S9
4,H4
42,S8
4,H4
2,C4
16,DK
25,CQ
36,CA
21,H6
31,SQ
49,C10
8,SA
48,D8
24,CK
39,C8
46,S3
38,C7
23,S7
36,CA
39,C8
27,DA
34,H3
10,D10
37,S5
41,S4
5,C6
49,C10
1,H2
33,H8
35,C3
6,HK
26,C2
8,SA
39,C8
44,HA
39,C8
51,SK
12,S2
35,C3
18,H9
20,D7
8,SA
25,CQ
31,H5
10,H10
16,S2
33,H2
21,DJ
34,D4
20,H4
1,D10
38,HJ
9,CQ
17,C8
37,S4
9,CQ
14,SQ
31,H5
39,S7
3,HK
31,H5
3,HK
2,S5
26,S6
25,C2
37,S4
43,S10
4,S8
21,DJ
7,DK
45,C5
9,CQ
43,S10
20,H4
45,C5
36,HQ
6,C4
2,S5
51,S3
20,H4
42,CJ
28,CA
32,DQ
52,D2
17,C8
34,D4
50,S7
24,C3
43,D5
7,C4
29,H9
44,DQ
13,D2
2,H4
43,D5
44,DQ
3,S3
20,D8
49,C10
36,S8
36,S8
6,C5
19,C6
9,SJ
27,DA
37,CQ
13,D2
16,H8
5,C2
49,C10
42,S5
1,HJ
2,H4
19,C6
46,SA
28,D9
32,D3
16,H8
17,C9
19,C6
19,C6
9,SJ
43,D5
12,D10
27,DA
49,C10
18,CK
22,C7
52,H3
31,C6
32,CJ
42,D3
27,H7
46,S8
14,D4
25,S9
25,S9
45,C8
7,H10
42,D3
7,H10
26,DK
48,S3
35,C5
33,D10
26,DK
12,H9
41,S2
44,S10
16,CK
30,CQ
16,CK
10,H4
4,S7
17,C4
52,H3
11,C7
30,CQ
38,SK
7,H10
33,D10
20,H5
18,H8
25,S9
12,H9
19,D8
24,SQ
37,H2
50,HK
1,HQ
44,S10
8,S6
17,C4
2,D5
7,H10
41,S2
41,S2
52,H3
22,S4
47,SJ
5,D7
13,H6
23,C6
14,DK
17,H9
39,H2
13,H5
35,S3
10,H7
12,D3
34,D4
15,DA
31,D9
42,HQ
50,SJ
4,C5
39,H2
20,S2
25,H3
16,CJ
36,D10
2,H8
18,HK
30,CQ
4,C5
6,SQ
9,C7
16,CJ
30,CQ
3,C8
52,CA
26,C2
50,SJ
36,D10
8,HJ
49,S5
11,DQ
22,C4
23,C6
5,D2
33,D6
51,H6
31,D9
31,D9
37,C9
39,H2
24,S8
34,D4
26,C2
34,D4
41,HA
30,CQ
10,C7
47,C10
20,DK
44,S7
22,HK
13,S6
25,CA
14,D5
36,DJ
2,C4
10,C7
37,H5
3,CQ
47,C10
40,C5
18,C6
29,H6
41,D8
46,C9
41,D8
44,S7
29,H6
22,HK
31,S8
4,S4
23,D4
51,H8
13,S6
14,D5
26,S10
31,S8
47,C10
50,CK
1,HQ
5,D2
41,D8
39,CJ
50,CK
45,H4
2,C4
11,H9
1,HQ
5,D2
27,CJ
35,H6
49,S9
42,D3
15,DQ
19,C4
24,S7
12,C9
11,C3
45,C7
25,CQ
27,CJ
6,D7
42,D3
46,S5
51,D5
7,DK
13,C8
4,C2
49,S9
51,D5
50,D6
27,CJ
31,S8
5,S3
15,DQ
21,CK
36,SK
31,S8
3,H10
13,C8
28,CA
45,C7
9,H7
24,S7
27,CJ
30,H5
25,CQ
25,CQ
7,DK
23,D9
28,CA
44,SA
42,D3
31,S8
20,D5
51,H5
26,HJ
13,H10
31,DA
8,D6
18,S7
21,D2
35,SA
40,DK
14,SQ
9,C9
25,H6
5,S8
38,C7
2,H8
9,C9
4,H9
30,CQ
39,S10
11,CA
30,CQ
31,DA
51,H5
3,HA
49,H3
1,S5
8,D6
47,C6
36,CJ
17,SJ
25,H6
51,H5
50,HK
16,S4
49,H3
8,D6
16,S4
25,H6
51,H5
5,S8
18,S7
38,C7
14,SQ
52,S6
30,CQ
50,HK
2,H8
30,CQ
27,S2
48,H4
25,H9
35,S10
29,SK
41,SQ
12,H6
24,S4
45,C8
2,C7
10,D4
15,S8
34,HQ
40,CQ
35,S10
36,CK
10,D4
42,C3
26,S5
39,C4
47,D8
6,D2
17,D9
20,C2
19,H10
31,D5
40,CQ
39,C4
17,D9
21,H2
8,H5
31,D5
51,S3
18,D3
16,DQ
49,HJ
11,H7
43,C9
37,CA
46,HA
52,S7
3,C5
16,DQ
50,H3
51,S3
45,C8
28,SA
32,D10
7,S2
3,SJ
18,H3
2,CK
12,C9
13,S6
36,DJ
48,C4
21,S4
22,C10
51,DK
2,CK
21,S4
25,H6
49,C2
27,C8
40,C5
28,DA
29,DQ
50,S3
3,SJ
6,H7
2,CK
32,SK
13,S6
22,C10
35,H8
25,H6
2,CK
18,H3
32,SK
2,CK
48,C4
52,H4
20,D2
25,H6
29,DQ
8,S7
45,D4
41,HA
15,CA
41,HA
13,S6
36,DJ
40,C5
12,C9
25,H6
45,S10
26,S8
8,SJ
40,CA
41,S6
1,S9
6,H6
9,D6
1,S9
17,C5
25,H10
38,C7
43,DQ
2,S5
32,H7
6,H6
31,SK
27,HJ
26,S8
6,H6
18,CQ
22,DK
27,HJ
47,S3
15,C9
23,CK
2,S5
4,D7
11,D10
1,S9
24,SQ
25,H10
27,HJ
45,S10
52,HK
10,H2
38,C7
2,S5
12,HA
24,SQ
44,D5
38,C7
30,S2
19,HQ
34,D3
8,C3
15,C4
43,S3
1,S9
3,H3
28,SK
39,D2
21,C6
49,C10
29,CA
51,D5
31,HQ
1,S9
2,S5
17,D8
30,S8
29,CA
36,S6
46,H10
9,S7
51,D5
5,H8
8,C3
26,H6
28,SK
52,DA
23,C9
49,C10
18,CQ
50,DK
9,S7
12,SA
19,SQ
45,HK
46,H10
22,C2
15,C4
6,C8
2,S5
19,SQ
21,C6
1,S9
32,S2
42,H4
37,H2
33,C7
19,SQ
36,S6
28,SK
49,C10
2,S5
49,C10
37,H2
35,HJ
51,D5
34,H7
38,D7
11,D6
1,S9
2,S5
18,CQ
30,S5
47,C10
3,S9
7,SK
28,S3
39,C7
1,D10
9,D6
21,H10
40,H8
8,H9
6,DA
50,D7
10,C9
24,D4
25,C6
16,C4
47,C10
30,S5
17,D9
4,DJ
46,S2
17,D9
41,CA
40,H8
33,CK
34,C2
5,H7
36,CJ
47,C10
37,H2
51,H3
6,DA
34,C2
35,D2
52,HK
7,SK
12,C3
